name,id,genres,followers,popularity,spotify_url
Original Broadway Cast of Hamilton,3UUJfRbrA2nTbcg4i0MOwu,"broadway, show tunes",449381,72,https://open.spotify.com/artist/3UUJfRbrA2nTbcg4i0MOwu
Tennis,1ybAN3utgdoUL1MUCtH4QM,"art pop, chamber pop, chillwave, denver indie, indie pop, indie rock, indie surf, shimmer pop",300112,49,https://open.spotify.com/artist/1ybAN3utgdoUL1MUCtH4QM
Burial,0uCCBpmg6MrPb1KY2msceF,"classic dubstep, electronica, future garage, hauntology, intelligent dance music, trip hop, uk bass, wonky",461483,49,https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF
Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,"african-american classical, harlem renaissance, jazz, jazz piano, swing, vocal jazz",887832,56,https://open.spotify.com/artist/4F7Q5NV6h5TSwCainz8S5A
Marea,5EBH204cwRkvAWknwTAjCQ,"punk urbano, spanish punk",625147,59,https://open.spotify.com/artist/5EBH204cwRkvAWknwTAjCQ
The Guess Who,0cQuYRSzlItquYxsQKDvVc,"album rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, mellow gold, rock, singer-songwriter, soft rock",729078,54,https://open.spotify.com/artist/0cQuYRSzlItquYxsQKDvVc
Parmalee,4TshyQDihSYXSWqvclXl3I,"contemporary country, country road, modern country rock, modern uplift",260282,58,https://open.spotify.com/artist/4TshyQDihSYXSWqvclXl3I
La Fuga,5YyScSZOuBHpoFhGvHFedc,"latin rock, punk urbano, spanish pop, spanish punk",328475,51,https://open.spotify.com/artist/5YyScSZOuBHpoFhGvHFedc
Bloodhound Gang,6nDLku5uL3ou60kvCGZorh,"alternative metal, comic, funk metal, funk rock, nu metal, rap rock",975141,61,https://open.spotify.com/artist/6nDLku5uL3ou60kvCGZorh
The Drifters,1FqqOl9itIUpXr4jZPIVoT,"adult standards, classic soul, doo-wop, rock-and-roll, rockabilly, soul",536386,58,https://open.spotify.com/artist/1FqqOl9itIUpXr4jZPIVoT
Born Of Osiris,4HgqjpBaWctBWVHafQIpRt,"deathcore, djent, melodic deathcore, melodic metalcore, metalcore, progressive metalcore, symphonic deathcore",330313,46,https://open.spotify.com/artist/4HgqjpBaWctBWVHafQIpRt
Make Them Suffer,0FZcPgWI3BsFQl4rOAGSHT,"australian metalcore, blackened deathcore, brutal deathcore, deathcore, melodic deathcore, melodic metalcore, metalcore, symphonic deathcore",277770,55,https://open.spotify.com/artist/0FZcPgWI3BsFQl4rOAGSHT
Nyno Vargas,2dkbKcHXhN7ooFBdqAV76G,"flamenco urbano, pop flamenco, spanish hip hop",291490,55,https://open.spotify.com/artist/2dkbKcHXhN7ooFBdqAV76G
Architects,3ZztVuWxHzNpl0THurTFCv,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore",992523,62,https://open.spotify.com/artist/3ZztVuWxHzNpl0THurTFCv
Ovy On The Drums,3m5qlPf2OkihLz3dRYnkPA,"colombian pop, reggaeton colombiano, trap latino, urbano latino",351812,74,https://open.spotify.com/artist/3m5qlPf2OkihLz3dRYnkPA
Lorna Shore,6vXYoy8ouRVib302zxaxFF,"blackened deathcore, melodic metalcore, symphonic deathcore",665691,58,https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF
Zeds Dead,67qogtRNI0GjUr8PlaG6Zh,"brostep, canadian electronic, dubstep, edm, electro house, progressive electro house",601754,59,https://open.spotify.com/artist/67qogtRNI0GjUr8PlaG6Zh
Melissa Etheridge,01Ppu7N8uYJI8SAONo2YZA,"ectofolk, heartland rock, lilith, pop rock, singer-songwriter",491607,50,https://open.spotify.com/artist/01Ppu7N8uYJI8SAONo2YZA
Karpe,3X23gpg1vPacr0hBARyxtN,"norwegian hip hop, norwegian pop",303266,56,https://open.spotify.com/artist/3X23gpg1vPacr0hBARyxtN
Dave Brubeck,3kUKwTJdH8FuWzF8p6Dg9E,"american modern classical, bebop, cool jazz, jazz, jazz piano",411115,48,https://open.spotify.com/artist/3kUKwTJdH8FuWzF8p6Dg9E
ERRA,2UoOdQyBGyzrEfxcY77ce0,"alabama metal, djent, melodic metalcore, metalcore, progressive metalcore",273884,56,https://open.spotify.com/artist/2UoOdQyBGyzrEfxcY77ce0
Twiztid,2aMAN8kMJ7eUOAuPUYOwI7,horrorcore,321329,48,https://open.spotify.com/artist/2aMAN8kMJ7eUOAuPUYOwI7
My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,"chamber pop, indie rock, jam band, louisville indie, melancholia, roots rock, stomp and holler",548793,51,https://open.spotify.com/artist/43O3c6wewpzPKwVaGEEtBM
Chinaski,5zAfxm1qJy2tnVNhRcKbGo,"czech pop, czech pop rock, czech rock",294955,51,https://open.spotify.com/artist/5zAfxm1qJy2tnVNhRcKbGo
Camela,6flBUmmOMLNhD4EJhGwgpG,"pop flamenco, rumba, spanish pop, spanish pop rock",419387,57,https://open.spotify.com/artist/6flBUmmOMLNhD4EJhGwgpG
مشاري بن راشد العفاسي,6nd2oiKSu9ksEAMzpXjIyi,"islamic recitation, quran",574213,47,https://open.spotify.com/artist/6nd2oiKSu9ksEAMzpXjIyi
Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,"british soul, neo soul, pop soul, soul",791297,63,https://open.spotify.com/artist/29WzbAQtDnBJF09es0uddn
Ry Cooder,1CPwHx5lgVxv0rfcp7UXLx,"acoustic blues, blues, country blues, country rock, folk, folk rock, pastoral, piedmont blues, roots rock, singer-songwriter, traditional blues",308977,47,https://open.spotify.com/artist/1CPwHx5lgVxv0rfcp7UXLx
Annihilator,0L8QRAAuWjqvTM8FpQ1gYO,"canadian metal, death metal, metal, old school thrash, speed metal, technical groove metal, thrash metal",385599,44,https://open.spotify.com/artist/0L8QRAAuWjqvTM8FpQ1gYO
Demarco Flamenco,4hFZibFsoIxictRvkZDjIc,"flamenco urbano, pop flamenco",477544,55,https://open.spotify.com/artist/4hFZibFsoIxictRvkZDjIc
Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,"alternative metal, metal, post-grunge",728887,65,https://open.spotify.com/artist/0eI3X5rAzHRZVe5FPk4MN1
Zac Efron,6U1dBXJhC8gXFjamvFTmHg,"hollywood, movie tunes, post-teen pop",834915,67,https://open.spotify.com/artist/6U1dBXJhC8gXFjamvFTmHg
The Mighty Mighty Bosstones,5uYXMC13cIUulobh204QuK,"boston punk, boston rock, punk, ska, ska punk, skate punk",359294,53,https://open.spotify.com/artist/5uYXMC13cIUulobh204QuK
La Raíz,036IY6CphXdsPiqIXdqvCP,"ska espanol, spanish punk, spanish rock",266044,54,https://open.spotify.com/artist/036IY6CphXdsPiqIXdqvCP
Glenn Gould,13dkPjqmbcchm8cXjEJQeP,"canadian classical piano, canadian contemporary r&b, classical, classical piano",251174,55,https://open.spotify.com/artist/13dkPjqmbcchm8cXjEJQeP
Kottonmouth Kings,0jx4hPtb5enLdBDdHKuSgf,"horrorcore, rap metal, rap rock",345779,45,https://open.spotify.com/artist/0jx4hPtb5enLdBDdHKuSgf
Amorphis,2UOVgpgiNTC6KK0vSC77aD,"finnish death metal, finnish melodeath, finnish metal, folk metal, gothic metal, melodic death metal, metal, power metal, progressive doom, symphonic metal, viking metal",318050,48,https://open.spotify.com/artist/2UOVgpgiNTC6KK0vSC77aD
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,"art pop, chamber pop, indie rock, melancholia, new jersey indie, singer-songwriter",529356,53,https://open.spotify.com/artist/2wJ4vsxWd7df7dRU4KcoDe
PJ Morton,2FMOHE79X98yptp4RpPrt7,"neo r&b, neo soul",273076,56,https://open.spotify.com/artist/2FMOHE79X98yptp4RpPrt7
Nonpoint,6BdSOHfQ6kMg0tbAFlXR1z,"alternative metal, industrial metal, latin metal, miami metal, nu metal, rap metal",491755,52,https://open.spotify.com/artist/6BdSOHfQ6kMg0tbAFlXR1z
Grandmaster Flash,1JfnADNz5yYEq3hrzlZHLk,"bronx hip hop, conscious hip hop, east coast hip hop, hip hop, old school hip hop, rap, turntablism",317126,41,https://open.spotify.com/artist/1JfnADNz5yYEq3hrzlZHLk
KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,"ectofolk, lilith, neo mellow, pop rock, scottish singer-songwriter",423751,61,https://open.spotify.com/artist/5zzrJD2jXrE9dZ1AklRFcL
Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop",858532,58,https://open.spotify.com/artist/1LeVJ5GPeYDOVUjxx1y7Rp
Cradle Of Filth,0NTSMFFapnyZfvmCwzcYPd,"black metal, british black metal, gothic black metal, gothic metal, metal, symphonic black metal, symphonic metal, vampiric black metal",543090,50,https://open.spotify.com/artist/0NTSMFFapnyZfvmCwzcYPd
Lightnin' Hopkins,6EZzVXM2uDRPmnHWq9yPDE,"acoustic blues, blues, country blues, delta blues, texas blues, traditional blues",273749,43,https://open.spotify.com/artist/6EZzVXM2uDRPmnHWq9yPDE
Kittie,0ImEDe9tW5n4pxHOK39zIc,"alternative metal, canadian metal, industrial metal, nu metal",615729,53,https://open.spotify.com/artist/0ImEDe9tW5n4pxHOK39zIc
Indigo Girls,4wM29TDTr3HI0qFY3KoSFG,"ectofolk, folk, lilith, singer-songwriter, women's music",356860,52,https://open.spotify.com/artist/4wM29TDTr3HI0qFY3KoSFG
Amerie,08rMCq2ek1YjdDBsCPVH2s,"contemporary r&b, hip pop, neo soul, r&b, urban contemporary",938632,55,https://open.spotify.com/artist/08rMCq2ek1YjdDBsCPVH2s
Tchami,1KpCi9BOfviCVhmpI4G2sY,"bass house, brostep, deep groove house, edm, electro house, future house, house, pop dance, progressive house",411365,55,https://open.spotify.com/artist/1KpCi9BOfviCVhmpI4G2sY
Marek Ztracený,7s4NiavZ071gzNghPJVmUu,"czech pop, czech pop rock",309072,49,https://open.spotify.com/artist/7s4NiavZ071gzNghPJVmUu
Body Count,5KCph1z3jaSwhtwPzoYp6i,"funk metal, groove metal, nu metal, political hip hop, rap metal, rap rock",290326,46,https://open.spotify.com/artist/5KCph1z3jaSwhtwPzoYp6i
Adema,3n4ersmDo55xV4fPSCKpXb,"alternative metal, industrial metal, nu metal, post-grunge, rap metal",291746,43,https://open.spotify.com/artist/3n4ersmDo55xV4fPSCKpXb
Paco de Lucía,3h8OjAdgYXVRoMZ8jFd6Uw,"flamenco, flamenco guitar, rumba",555728,54,https://open.spotify.com/artist/3h8OjAdgYXVRoMZ8jFd6Uw
Skindred,3jTlKw98Ql1jGRPYqhqHap,"nu metal, rap metal, reggae fusion, welsh metal, welsh rock",564064,56,https://open.spotify.com/artist/3jTlKw98Ql1jGRPYqhqHap
Estas Tonne,5r2JG9bxzdaGLiu4cq9X9t,flamenco guitar,331616,48,https://open.spotify.com/artist/5r2JG9bxzdaGLiu4cq9X9t
Prophets Of Rage,1fSzW5cXBmquli5laFnoGY,"conscious hip hop, political hip hop, rap metal, rap rock, supergroup",415868,39,https://open.spotify.com/artist/1fSzW5cXBmquli5laFnoGY
Seven Lions,6fcTRFpz0yH79qSKfof7lp,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance",490839,60,https://open.spotify.com/artist/6fcTRFpz0yH79qSKfof7lp
Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,"hollywood, movie tunes",359990,65,https://open.spotify.com/artist/6xfqnpe2HnLVUaYXs2F8YS
After The Burial,0uNj4RxFjG0iVPlZS753en,"deathcore, djent, melodic metalcore, metalcore, minneapolis metal, progressive metalcore",303972,46,https://open.spotify.com/artist/0uNj4RxFjG0iVPlZS753en
Rosendo,0P4FkbP57uc9XBnJ9aoA3N,"cantautor, spanish new wave, spanish punk",300240,47,https://open.spotify.com/artist/0P4FkbP57uc9XBnJ9aoA3N
Saliva,5S6hjAxgxjsLylsTtMIimO,"alternative metal, nu metal, rap metal",966977,58,https://open.spotify.com/artist/5S6hjAxgxjsLylsTtMIimO
Jessie Ware,5Mq7iqCWBzofK39FBqblNc,"british soul, electropop, neo soul, pop soul, uk pop",761855,59,https://open.spotify.com/artist/5Mq7iqCWBzofK39FBqblNc
S3RL,11aa081aKYUzmeFm0yHdT2,"australian dance, freeform hardcore, happy hardcore",390601,60,https://open.spotify.com/artist/11aa081aKYUzmeFm0yHdT2
Omar Montes,3lY9Fxceu60W1rbon7PkuF,"flamenco urbano, urbano espanol",738933,74,https://open.spotify.com/artist/3lY9Fxceu60W1rbon7PkuF
Otep,6iswhpc2w6na3lS1vehFXF,"alternative metal, industrial metal, nu metal, rap metal, slayer",412774,42,https://open.spotify.com/artist/6iswhpc2w6na3lS1vehFXF
Silvana Estrada,72VywtXEoONiBLNu3ibGI7,"cantautora mexicana, jazz mexicano, mexican indie, nuevo folklore mexicano, veracruz indie",362400,53,https://open.spotify.com/artist/72VywtXEoONiBLNu3ibGI7
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,"adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",631664,62,https://open.spotify.com/artist/6mcrZQmgzFGRWf7C0SObou
Virtual Riot,4FXGRMSHh2JjHxVwS8dhH1,"brostep, complextro, dubstep",340192,49,https://open.spotify.com/artist/4FXGRMSHh2JjHxVwS8dhH1
Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,"blues, classic soul, instrumental funk, instrumental soul, memphis soul, soul, southern soul, traditional blues",301170,55,https://open.spotify.com/artist/2vDV0T8sxx2ENnKXds75e5
Kottonmouth Kings,0jx4hPtb5enLdBDdHKuSgf,"horrorcore, rap metal, rap rock",345779,45,https://open.spotify.com/artist/0jx4hPtb5enLdBDdHKuSgf
The Front Bottoms,5ictveRyhWRs8Gt8Dvt1hS,"asbury park indie, emo, new jersey indie, pov: indie",755930,61,https://open.spotify.com/artist/5ictveRyhWRs8Gt8Dvt1hS
Krizz Kaliko,3SEJQy90Vgg1aSnZ9b4AU9,"country rap, horrorcore, kansas city hip hop",420206,56,https://open.spotify.com/artist/3SEJQy90Vgg1aSnZ9b4AU9
Slaughter,4ibNXJiMYOPibpS9DB9Qz3,"canadian metal, glam metal, hard rock",637835,43,https://open.spotify.com/artist/4ibNXJiMYOPibpS9DB9Qz3
Los Delinquentes,38LYyZ9hZEEQeEfeYoydqd,"carnaval cadiz, flamenco, flamenco fusion, pop flamenco, rock andaluz, rumba",328136,54,https://open.spotify.com/artist/38LYyZ9hZEEQeEfeYoydqd
Real Estate,41SQP16hv1TioVYqdckmxT,"chamber pop, chillwave, dreamo, experimental pop, indie rock, indietronica, lo-fi, neo-psychedelic, new jersey indie, noise pop, shimmer pop",402790,48,https://open.spotify.com/artist/41SQP16hv1TioVYqdckmxT
Jaromir Nohavica,01x541cuqfktQA8WYDrdn3,"czech folk, czech pop, czech rock, czech singer-songwriter",315184,50,https://open.spotify.com/artist/01x541cuqfktQA8WYDrdn3
Anne Murray,7d7q5Y1p2QWS4QRAhTQR5E,"adult standards, canadian country, canadian pop, classic country pop, mellow gold, soft rock",767893,58,https://open.spotify.com/artist/7d7q5Y1p2QWS4QRAhTQR5E
Rezz,4aKdmOXdUKX07HVd3sGgzw,"brostep, canadian electronic, edm, electra, electro house",530509,59,https://open.spotify.com/artist/4aKdmOXdUKX07HVd3sGgzw
Between The Buried And Me,2JC4hZm1egeJDEolLsMwZ9,"djent, melodic metalcore, north carolina metal, progressive metal",270409,42,https://open.spotify.com/artist/2JC4hZm1egeJDEolLsMwZ9
Bassnectar,1JPy5PsJtkhftfdr6saN2i,"bass music, breakbeat, brostep, edm, glitch hop",598612,52,https://open.spotify.com/artist/1JPy5PsJtkhftfdr6saN2i
Fear Factory,74Hj7BmnUXyx2udrIEIKwX,"alternative metal, groove metal, industrial metal, metal, nu metal, rap metal",673519,52,https://open.spotify.com/artist/74Hj7BmnUXyx2udrIEIKwX
Maze,3DvdryKH4O95ZnsUZJKXpt,"classic soul, funk, motown, neo soul, new jack swing, post-disco, quiet storm, soul, urban contemporary",488392,49,https://open.spotify.com/artist/3DvdryKH4O95ZnsUZJKXpt
El Arrebato,2dJyJptNE5bMmbN6z08iNJ,"pop flamenco, rumba, spanish pop",792832,57,https://open.spotify.com/artist/2dJyJptNE5bMmbN6z08iNJ
The Greatest Showman Ensemble,63nv0hWWDob56Rk8GlNpN8,"hollywood, movie tunes",318959,64,https://open.spotify.com/artist/63nv0hWWDob56Rk8GlNpN8
What So Not,4AA8eXtzqh5ykxtafLaPOi,"aussietronica, brostep, edm, electro house, electronic trap, escape room, vapor twitch",318094,54,https://open.spotify.com/artist/4AA8eXtzqh5ykxtafLaPOi
Adventure Club,5CdJjUi9f0cVgo9nFuJrFa,"brostep, canadian electronic, complextro, edm, electro house, filthstep, melodic dubstep, pop dance",305238,52,https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa
Crazy Town,4iSKnRZAxkmqNok6tv10Se,"alternative metal, funk metal, nu metal, post-grunge, rap rock",538726,59,https://open.spotify.com/artist/4iSKnRZAxkmqNok6tv10Se
Diego El Cigala,7mLYMGXg84miYydKwi2aRi,"flamenco, rumba",308791,56,https://open.spotify.com/artist/7mLYMGXg84miYydKwi2aRi
Jewel,6FbDoZnMBTdhhhLuJBOOqP,"alaska indie, ectofolk, lilith, permanent wave, pop rock, singer-songwriter",792310,56,https://open.spotify.com/artist/6FbDoZnMBTdhhhLuJBOOqP
Chrisette Michele,3YJMzGjAm245zwJooY7PEj,"contemporary r&b, hip pop, neo soul, r&b, urban contemporary",592078,56,https://open.spotify.com/artist/3YJMzGjAm245zwJooY7PEj
Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,"alternative rock, art pop, dream pop, indie rock, indietronica, lo-fi, new jersey indie, noise pop, permanent wave, shoegaze",519090,51,https://open.spotify.com/artist/5hAhrnb0Ch4ODwWu4tsbpi
Bilal,4jCbgl5Dmt3uOh8WRQfpPs,neo soul,286695,63,https://open.spotify.com/artist/4jCbgl5Dmt3uOh8WRQfpPs
Sabri Brothers,0sbtGmW8r5bxfXzla8a7eI,"classic pakistani pop, ghazal, pakistani folk, qawwali, sufi",339390,50,https://open.spotify.com/artist/0sbtGmW8r5bxfXzla8a7eI
Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,"flamenco, rumba, world",908776,66,https://open.spotify.com/artist/3jc496ljiyrS3ECrD7QiqL
Silverstein,1Tsag5J854qxeOo2apszug,"canadian post-hardcore, canadian rock, metalcore, neon pop punk, pop emo, pop punk, post-hardcore, screamo",715158,56,https://open.spotify.com/artist/1Tsag5J854qxeOo2apszug
Andy & Lucas,4dqi10p8S91S2ChvcWsi1L,"latin pop, pop flamenco, rumba, spanish pop",929370,56,https://open.spotify.com/artist/4dqi10p8S91S2ChvcWsi1L
Jauz,5ttgIeUVka6FLyi00Uu5h8,"brostep, edm, electro house",387902,53,https://open.spotify.com/artist/5ttgIeUVka6FLyi00Uu5h8
Alfa Mist,2i1CPudyCUjL50Wqjv8AMI,"british jazz, indie soul",267864,48,https://open.spotify.com/artist/2i1CPudyCUjL50Wqjv8AMI
Bo Diddley,2bmixwMZXlkl2sbIbOfviq,"acoustic blues, blues, chicago blues, electric blues, rock-and-roll, rockabilly, traditional blues",319508,45,https://open.spotify.com/artist/2bmixwMZXlkl2sbIbOfviq
La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,spanish punk,270173,50,https://open.spotify.com/artist/3vHlZN6pTa2zOl2eVxiEdJ
